date,Cough_unscaled,Cough_monthly,isPartial,scale,Cough
2021-05-08,83,32.0,,0.32,26.560000000000002
2021-05-09,64,33.0,False,0.33,21.12
2021-05-10,98,33.0,,0.33,32.34
2021-05-11,82,33.0,,0.33,27.060000000000002
2021-05-12,91,33.0,,0.33,30.03
2021-05-13,93,33.0,,0.33,30.69
2021-05-14,91,33.0,,0.33,30.03
2021-05-15,84,33.0,,0.33,27.720000000000002
2021-05-16,94,35.0,False,0.35,32.9
2021-05-17,90,35.0,,0.35,31.499999999999996
2021-05-18,100,35.0,,0.35,35.0
2021-05-19,94,35.0,,0.35,32.9
2021-05-20,87,35.0,,0.35,30.45
2021-05-21,87,35.0,,0.35,30.45
2021-05-22,70,35.0,,0.35,24.5
2021-05-23,92,34.0,False,0.34,31.28
2021-05-24,94,34.0,,0.34,31.96
2021-05-25,100,34.0,,0.34,34.0
2021-05-26,93,34.0,,0.34,31.62
2021-05-27,88,34.0,,0.34,29.92
2021-05-28,90,34.0,,0.34,30.6
2021-05-29,96,34.0,,0.34,32.64
2021-05-30,79,33.0,False,0.33,26.07
2021-05-31,95,33.0,,0.33,31.35
2021-06-01,87,33.0,,0.33,28.71
2021-06-02,74,33.0,,0.33,24.42
2021-06-03,85,33.0,,0.33,28.05
2021-06-04,73,33.0,,0.33,24.09
2021-06-05,86,33.0,,0.33,28.380000000000003
2021-06-06,92,34.0,False,0.34,31.28
2021-06-07,83,34.0,,0.34,28.220000000000002
2021-06-08,100,34.0,,0.34,34.0
2021-06-09,77,34.0,,0.34,26.180000000000003
2021-06-10,79,34.0,,0.34,26.860000000000003
2021-06-11,79,34.0,,0.34,26.860000000000003
2021-06-12,80,34.0,,0.34,27.200000000000003
2021-06-13,88,37.0,False,0.37,32.56
2021-06-14,87,37.0,,0.37,32.19
2021-06-15,85,37.0,,0.37,31.45
2021-06-16,85,37.0,,0.37,31.45
2021-06-17,96,37.0,,0.37,35.519999999999996
2021-06-18,83,37.0,,0.37,30.71
2021-06-19,87,37.0,,0.37,32.19
2021-06-20,90,35.0,False,0.35,31.499999999999996
2021-06-21,88,35.0,,0.35,30.799999999999997
2021-06-22,96,35.0,,0.35,33.599999999999994
2021-06-23,79,35.0,,0.35,27.65
2021-06-24,81,35.0,,0.35,28.349999999999998
2021-06-25,76,35.0,,0.35,26.599999999999998
2021-06-26,86,35.0,,0.35,30.099999999999998
2021-06-27,99,36.0,False,0.36,35.64
2021-06-28,79,36.0,,0.36,28.439999999999998
2021-06-29,89,36.0,,0.36,32.04
2021-06-30,88,36.0,,0.36,31.68
2021-07-01,73,36.0,,0.36,26.279999999999998
2021-07-02,84,36.0,,0.36,30.24
2021-07-03,82,36.0,,0.36,29.52
2021-07-04,90,37.0,False,0.37,33.3
2021-07-05,78,37.0,,0.37,28.86
2021-07-06,80,37.0,,0.37,29.6
2021-07-07,80,37.0,,0.37,29.6
2021-07-08,86,37.0,,0.37,31.82
2021-07-09,81,37.0,,0.37,29.97
2021-07-10,89,37.0,,0.37,32.93
2021-07-11,85,39.0,False,0.39,33.15
