date,Cough_unscaled,Cough_monthly,isPartial,scale,Cough
2020-05-12,88,25.0,,0.25,22.0
2020-05-13,76,25.0,,0.25,19.0
2020-05-14,82,25.0,,0.25,20.5
2020-05-15,74,25.0,,0.25,18.5
2020-05-16,79,25.0,,0.25,19.75
2020-05-17,70,23.0,False,0.23,16.1
2020-05-18,72,23.0,,0.23,16.560000000000002
2020-05-19,87,23.0,,0.23,20.01
2020-05-20,83,23.0,,0.23,19.09
2020-05-21,79,23.0,,0.23,18.17
2020-05-22,70,23.0,,0.23,16.1
2020-05-23,76,23.0,,0.23,17.48
2020-05-24,77,21.0,False,0.21,16.169999999999998
2020-05-25,71,21.0,,0.21,14.91
2020-05-26,71,21.0,,0.21,14.91
2020-05-27,70,21.0,,0.21,14.7
2020-05-28,62,21.0,,0.21,13.02
2020-05-29,76,21.0,,0.21,15.959999999999999
2020-05-30,78,21.0,,0.21,16.38
2020-05-31,74,18.0,False,0.18,13.32
2020-06-01,76,18.0,,0.18,13.68
2020-06-02,63,18.0,,0.18,11.34
2020-06-03,65,18.0,,0.18,11.7
2020-06-04,61,18.0,,0.18,10.98
2020-06-05,72,18.0,,0.18,12.959999999999999
2020-06-06,65,18.0,,0.18,11.7
2020-06-07,85,20.0,False,0.2,17.0
2020-06-08,80,20.0,,0.2,16.0
2020-06-09,68,20.0,,0.2,13.600000000000001
2020-06-10,66,20.0,,0.2,13.200000000000001
2020-06-11,69,20.0,,0.2,13.8
2020-06-12,68,20.0,,0.2,13.600000000000001
2020-06-13,77,20.0,,0.2,15.4
2020-06-14,70,22.0,False,0.22,15.4
2020-06-15,69,22.0,,0.22,15.18
2020-06-16,74,22.0,,0.22,16.28
2020-06-17,88,22.0,,0.22,19.36
2020-06-18,70,22.0,,0.22,15.4
2020-06-19,78,22.0,,0.22,17.16
2020-06-20,92,22.0,,0.22,20.24
2020-06-21,93,25.0,False,0.25,23.25
2020-06-22,91,25.0,,0.25,22.75
2020-06-23,88,25.0,,0.25,22.0
2020-06-24,77,25.0,,0.25,19.25
2020-06-25,84,25.0,,0.25,21.0
2020-06-26,93,25.0,,0.25,23.25
2020-06-27,92,25.0,,0.25,23.0
2020-06-28,93,27.0,False,0.27,25.110000000000003
2020-06-29,100,27.0,,0.27,27.0
2020-06-30,100,27.0,,0.27,27.0
2020-07-01,79,27.0,,0.27,21.330000000000002
2020-07-02,75,27.0,,0.27,20.25
2020-07-03,92,27.0,,0.27,24.840000000000003
2020-07-04,78,27.0,,0.27,21.060000000000002
2020-07-05,73,28.0,False,0.28,20.44
2020-07-06,82,28.0,,0.28,22.96
2020-07-07,92,28.0,,0.28,25.76
2020-07-08,94,28.0,,0.28,26.320000000000004
2020-07-09,85,28.0,,0.28,23.8
2020-07-10,77,28.0,,0.28,21.560000000000002
2020-07-11,83,28.0,,0.28,23.240000000000002
2020-07-12,80,29.0,False,0.29,23.2
2020-07-13,100,29.0,,0.29,28.999999999999996
2020-07-14,88,29.0,,0.29,25.52
2020-07-15,76,29.0,,0.29,22.04
2020-07-16,82,29.0,,0.29,23.779999999999998
2020-07-17,84,29.0,,0.29,24.36
2020-07-18,85,29.0,,0.29,24.65
2020-07-19,82,29.0,False,0.29,23.779999999999998
