date,Sanitizer_unscaled,Sanitizer_monthly,isPartial,scale,Sanitizer
2021-10-09,83,2.0,,0.02,1.6600000000000001
2021-10-10,79,2.0,False,0.02,1.58
2021-10-11,69,2.0,,0.02,1.3800000000000001
2021-10-12,53,2.0,,0.02,1.06
2021-10-13,59,2.0,,0.02,1.18
2021-10-14,70,2.0,,0.02,1.4000000000000001
2021-10-15,42,2.0,,0.02,0.84
2021-10-16,59,2.0,,0.02,1.18
2021-10-17,65,2.0,False,0.02,1.3
2021-10-18,40,2.0,,0.02,0.8
2021-10-19,65,2.0,,0.02,1.3
2021-10-20,51,2.0,,0.02,1.02
2021-10-21,52,2.0,,0.02,1.04
2021-10-22,47,2.0,,0.02,0.9400000000000001
2021-10-23,46,2.0,,0.02,0.92
2021-10-24,45,2.0,False,0.02,0.9
2021-10-25,44,2.0,,0.02,0.88
2021-10-26,53,2.0,,0.02,1.06
2021-10-27,48,2.0,,0.02,0.96
2021-10-28,93,2.0,,0.02,1.86
2021-10-29,55,2.0,,0.02,1.1
2021-10-30,52,2.0,,0.02,1.04
2021-10-31,49,2.0,False,0.02,0.98
2021-11-01,74,2.0,,0.02,1.48
2021-11-02,59,2.0,,0.02,1.18
2021-11-03,97,2.0,,0.02,1.94
2021-11-04,88,2.0,,0.02,1.76
2021-11-05,42,2.0,,0.02,0.84
2021-11-06,63,2.0,,0.02,1.26
2021-11-07,50,2.0,False,0.02,1.0
2021-11-08,56,2.0,,0.02,1.12
2021-11-09,57,2.0,,0.02,1.1400000000000001
2021-11-10,97,2.0,,0.02,1.94
2021-11-11,80,2.0,,0.02,1.6
2021-11-12,51,2.0,,0.02,1.02
2021-11-13,68,2.0,,0.02,1.36
2021-11-14,70,2.0,False,0.02,1.4000000000000001
2021-11-15,100,2.0,,0.02,2.0
2021-11-16,66,2.0,,0.02,1.32
2021-11-17,92,2.0,,0.02,1.84
2021-11-18,53,2.0,,0.02,1.06
2021-11-19,63,2.0,,0.02,1.26
2021-11-20,83,2.0,,0.02,1.6600000000000001
2021-11-21,52,1.0,False,0.01,0.52
2021-11-22,76,1.0,,0.01,0.76
2021-11-23,97,1.0,,0.01,0.97
2021-11-24,42,1.0,,0.01,0.42
2021-11-25,46,1.0,,0.01,0.46
2021-11-26,49,1.0,,0.01,0.49
2021-11-27,84,1.0,,0.01,0.84
2021-11-28,71,2.0,False,0.02,1.42
2021-11-29,72,2.0,,0.02,1.44
2021-11-30,93,2.0,,0.02,1.86
2021-12-01,95,2.0,,0.02,1.9000000000000001
2021-12-02,57,2.0,,0.02,1.1400000000000001
2021-12-03,100,2.0,,0.02,2.0
2021-12-04,71,2.0,,0.02,1.42
2021-12-05,92,2.0,False,0.02,1.84
2021-12-06,61,2.0,,0.02,1.22
2021-12-07,89,2.0,,0.02,1.78
2021-12-08,80,2.0,,0.02,1.6
2021-12-09,90,2.0,,0.02,1.8
2021-12-10,67,2.0,,0.02,1.34
2021-12-11,78,2.0,,0.02,1.56
2021-12-12,69,1.0,True,0.01,0.6900000000000001
2021-12-13,66,1.0,,0.01,0.66
2021-12-14,68,1.0,,0.01,0.68
2021-12-15,68,1.0,,0.01,0.68
2021-12-16,60,1.0,,0.01,0.6
2021-12-17,63,1.0,,0.01,0.63
